epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4299,0.68236,1.85614,1.22521,0.58581,0.66744,0.68423,0.58032,0.64715,1.37065,1.27512,0.000473745,0.000473745,0.000473745
2,44.1531,0.64786,1.20304,1.15799,0.74723,0.71673,0.74602,0.59123,0.65051,1.06989,1.26434,0.000937537,0.000937537,0.000937537
3,73.5376,0.67583,1.09881,1.17486,0.54771,0.75106,0.73273,0.6216,0.56153,1.49265,1.16122,0.00138875,0.00138875,0.00138875
4,100.594,0.64397,0.95811,1.1558,0.86614,0.48738,0.68584,0.58062,0.61412,1.15498,1.17589,0.00137241,0.00137241,0.00137241
5,128.865,0.6313,0.86794,1.14266,0.93579,0.7723,0.89095,0.76981,0.524,0.61598,1.13883,0.00135355,0.00135355,0.00135355
6,157.87,0.58793,0.79423,1.11004,0.87379,0.79925,0.88146,0.78768,0.46587,0.55204,1.04315,0.00133469,0.00133469,0.00133469
7,187.793,0.59072,0.758,1.11239,0.70266,0.84874,0.7989,0.69005,0.50478,0.60171,1.08311,0.00131582,0.00131582,0.00131582
8,216.379,0.58614,0.72073,1.11516,0.78541,0.85405,0.86006,0.77794,0.45232,0.55718,1.03558,0.00129696,0.00129696,0.00129696
9,240.172,0.56722,0.704,1.1043,0.64166,0.84474,0.87704,0.77509,0.45612,0.57035,1.02517,0.0012781,0.0012781,0.0012781
10,262.614,0.56205,0.67529,1.09397,0.74232,0.8827,0.87227,0.77287,0.46219,0.51263,1.02945,0.00125923,0.00125923,0.00125923
11,284.422,0.54273,0.66629,1.0846,0.82561,0.8548,0.89669,0.80759,0.44326,0.56702,1.02052,0.00124037,0.00124037,0.00124037
12,305.347,0.53916,0.62864,1.07348,0.95414,0.77108,0.9171,0.79098,0.42828,0.47757,1.00743,0.00122151,0.00122151,0.00122151
13,326.192,0.5352,0.61405,1.07247,0.90296,0.89864,0.9482,0.85343,0.43808,0.44473,1.00706,0.00120265,0.00120265,0.00120265
14,347.614,0.51353,0.58937,1.06722,0.77866,0.83884,0.87141,0.77746,0.45311,0.4906,1.02704,0.00118378,0.00118378,0.00118378
15,368.396,0.52929,0.60483,1.07424,0.8037,0.75679,0.88545,0.80512,0.42376,0.59263,0.98985,0.00116492,0.00116492,0.00116492
16,389.246,0.53082,0.61265,1.08634,0.92636,0.84319,0.94589,0.87013,0.4048,0.4331,0.97628,0.00114606,0.00114606,0.00114606
17,409.642,0.51688,0.59423,1.06026,0.89484,0.89814,0.943,0.86495,0.40992,0.44356,0.99319,0.0011272,0.0011272,0.0011272
18,430.775,0.50907,0.58772,1.05677,0.88527,0.89793,0.94704,0.8726,0.38834,0.42199,0.9607,0.00110833,0.00110833,0.00110833
19,456.539,0.50987,0.57714,1.06664,0.86514,0.85349,0.93169,0.85126,0.40346,0.3947,0.98504,0.00108947,0.00108947,0.00108947
20,482.714,0.51438,0.54292,1.06507,0.88756,0.87005,0.93953,0.86036,0.3908,0.42411,0.96723,0.00107061,0.00107061,0.00107061
21,508.308,0.50604,0.5463,1.05447,0.96574,0.84759,0.94121,0.85707,0.42023,0.42774,0.98878,0.00105174,0.00105174,0.00105174
22,533.065,0.48757,0.53594,1.04893,0.88074,0.86086,0.9191,0.83115,0.38261,0.4022,0.96546,0.00103288,0.00103288,0.00103288
23,558.46,0.48774,0.54565,1.0497,0.84171,0.90408,0.94159,0.88309,0.37907,0.4348,0.95806,0.00101402,0.00101402,0.00101402
24,580.854,0.48871,0.53343,1.05302,0.89876,0.89535,0.95399,0.88424,0.3803,0.37952,0.95692,0.000995156,0.000995156,0.000995156
25,604.268,0.48885,0.50984,1.04308,0.90706,0.84581,0.93275,0.85762,0.38154,0.41631,0.95328,0.000976293,0.000976293,0.000976293
26,627.415,0.47749,0.50075,1.03745,0.96768,0.88334,0.94864,0.88319,0.38981,0.35947,0.96674,0.00095743,0.00095743,0.00095743
27,651.75,0.49498,0.52219,1.04658,0.87239,0.87322,0.92397,0.85372,0.39315,0.42212,0.96394,0.000938567,0.000938567,0.000938567
28,675.222,0.49071,0.50655,1.04592,0.93046,0.86859,0.9377,0.8716,0.3775,0.35456,0.95755,0.000919704,0.000919704,0.000919704
29,698.545,0.47066,0.4966,1.03228,0.83563,0.85497,0.92769,0.86292,0.36838,0.40414,0.94375,0.000900842,0.000900842,0.000900842
30,721.814,0.47862,0.47844,1.03817,0.92138,0.86429,0.94964,0.88017,0.38389,0.38395,0.9714,0.000881979,0.000881979,0.000881979
31,746.432,0.4712,0.48947,1.04118,0.93258,0.81582,0.92886,0.85139,0.40197,0.41513,0.97838,0.000863116,0.000863116,0.000863116
32,771.006,0.48098,0.49572,1.04912,0.86832,0.93167,0.93153,0.86757,0.37931,0.36135,0.95578,0.000844253,0.000844253,0.000844253
33,794.666,0.47561,0.48222,1.03737,0.90538,0.86106,0.93691,0.87018,0.36205,0.35923,0.95264,0.00082539,0.00082539,0.00082539
34,818.016,0.46478,0.47041,1.03171,0.8925,0.9099,0.9586,0.88422,0.36362,0.35827,0.94033,0.000806528,0.000806528,0.000806528
35,841.851,0.46375,0.46494,1.03699,0.95225,0.86771,0.95017,0.89305,0.34712,0.3411,0.92932,0.000787665,0.000787665,0.000787665
36,866.363,0.46843,0.47487,1.03794,0.90503,0.89329,0.93726,0.88286,0.3601,0.33829,0.94121,0.000768802,0.000768802,0.000768802
37,890.039,0.46544,0.46411,1.03704,0.87801,0.91425,0.9475,0.89129,0.36188,0.3588,0.93176,0.000749939,0.000749939,0.000749939
38,914.796,0.45536,0.45405,1.02836,0.91028,0.88722,0.96375,0.90025,0.36108,0.36316,0.93288,0.000731076,0.000731076,0.000731076
39,939.408,0.44784,0.44708,1.02787,0.96969,0.86263,0.95871,0.88182,0.36237,0.33531,0.92944,0.000712214,0.000712214,0.000712214
40,965.574,0.45273,0.44908,1.02424,0.91528,0.90704,0.95503,0.89943,0.35335,0.34401,0.93339,0.000693351,0.000693351,0.000693351
41,990.165,0.45293,0.43039,1.02461,0.86847,0.90474,0.94254,0.8925,0.3418,0.35502,0.91795,0.000674488,0.000674488,0.000674488
42,1014.77,0.43852,0.42131,1.01726,0.94774,0.8597,0.95232,0.89232,0.35467,0.34801,0.92394,0.000655625,0.000655625,0.000655625
43,1040.75,0.43647,0.43403,1.01323,0.90987,0.8754,0.96738,0.90589,0.34103,0.34566,0.91417,0.000636762,0.000636762,0.000636762
44,1061.61,0.44237,0.42775,1.02244,0.9318,0.89776,0.95703,0.87666,0.35108,0.37286,0.92569,0.0006179,0.0006179,0.0006179
45,1082.43,0.43858,0.42616,1.01653,0.91375,0.91218,0.96864,0.91215,0.33808,0.33723,0.9092,0.000599037,0.000599037,0.000599037
46,1103.63,0.4414,0.43041,1.02287,0.89973,0.8564,0.95527,0.8953,0.35066,0.37768,0.92815,0.000580174,0.000580174,0.000580174
47,1126.42,0.43514,0.4184,1.01396,0.8418,0.9128,0.94517,0.87734,0.33811,0.35502,0.91408,0.000561311,0.000561311,0.000561311
