epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,1153.98,0.43479,0.40594,1.01543,0.90912,0.86635,0.95381,0.89302,0.33777,0.32186,0.92222,0.000542448,0.000542448,0.000542448
49,1180.65,0.42897,0.38691,1.01171,0.93917,0.8481,0.96054,0.90256,0.33505,0.34492,0.91688,0.000523586,0.000523586,0.000523586
50,1206.31,0.44356,0.41851,1.0229,0.88597,0.93023,0.95636,0.88683,0.34129,0.33185,0.91845,0.000504723,0.000504723,0.000504723
51,1231.77,0.41935,0.393,1.00827,0.91711,0.83157,0.95257,0.8917,0.3329,0.33804,0.90951,0.00048586,0.00048586,0.00048586
52,1257.68,0.42882,0.39218,1.00496,0.90778,0.89268,0.95551,0.88187,0.33324,0.32896,0.91185,0.000466997,0.000466997,0.000466997
53,1283.31,0.42249,0.38375,1.00471,0.9104,0.91224,0.95325,0.88931,0.34608,0.33579,0.91503,0.000448134,0.000448134,0.000448134
54,1309.21,0.41091,0.3814,0.99927,0.9338,0.90298,0.95772,0.88775,0.33229,0.32978,0.90857,0.000429272,0.000429272,0.000429272
55,1334.96,0.41093,0.38084,1.0013,0.86375,0.90997,0.95189,0.88745,0.33121,0.34773,0.91425,0.000410409,0.000410409,0.000410409
56,1360.81,0.41285,0.38051,1.00414,0.89845,0.92184,0.95824,0.89167,0.32328,0.33152,0.90891,0.000391546,0.000391546,0.000391546
57,1386.81,0.41671,0.36848,1.00895,0.94762,0.92181,0.9628,0.9043,0.32619,0.31038,0.90285,0.000372683,0.000372683,0.000372683
58,1412.31,0.41552,0.37849,1.00474,0.92254,0.85701,0.93291,0.88697,0.32027,0.33617,0.90103,0.00035382,0.00035382,0.00035382
59,1437.92,0.41144,0.36491,1.00439,0.88649,0.93329,0.95206,0.89364,0.32031,0.31333,0.90006,0.000334958,0.000334958,0.000334958
60,1463.28,0.40816,0.37839,1.00347,0.88721,0.92103,0.95622,0.9012,0.3171,0.31377,0.89711,0.000316095,0.000316095,0.000316095
61,1488.9,0.40681,0.35882,0.99204,0.9025,0.89588,0.9537,0.89044,0.32422,0.33465,0.90105,0.000297232,0.000297232,0.000297232
62,1514.56,0.40988,0.3776,0.9998,0.88362,0.90415,0.9633,0.90606,0.31422,0.33427,0.89509,0.000278369,0.000278369,0.000278369
63,1540.61,0.39641,0.35476,0.99829,0.95366,0.85212,0.95455,0.88633,0.31712,0.33682,0.8991,0.000259506,0.000259506,0.000259506
64,1566.48,0.38975,0.34667,0.98592,0.90367,0.89904,0.94953,0.8864,0.31975,0.3505,0.8976,0.000240644,0.000240644,0.000240644
65,1592.92,0.40168,0.35854,0.99753,0.95228,0.87568,0.96052,0.90858,0.31797,0.30155,0.89518,0.000221781,0.000221781,0.000221781
66,1635.94,0.27776,0.26311,0.91042,0.92579,0.89035,0.95043,0.89411,0.31829,0.31249,0.89526,0.000202918,0.000202918,0.000202918
67,1659.65,0.2655,0.25639,0.89658,0.95969,0.87779,0.95253,0.90886,0.31022,0.30966,0.89205,0.000184055,0.000184055,0.000184055
68,1684.41,0.26504,0.24069,0.8954,0.90814,0.91988,0.96002,0.91028,0.30822,0.29187,0.8899,0.000165192,0.000165192,0.000165192
69,1709.16,0.25985,0.23731,0.89379,0.93858,0.8724,0.9543,0.90878,0.31349,0.30453,0.89442,0.00014633,0.00014633,0.00014633
70,1733.53,0.25941,0.23013,0.89728,0.90359,0.9258,0.95074,0.90464,0.30896,0.32735,0.89044,0.000127467,0.000127467,0.000127467
71,1758.43,0.25689,0.22168,0.88454,0.94222,0.86231,0.95099,0.90365,0.30527,0.3248,0.88742,0.000108604,0.000108604,0.000108604
72,1783.23,0.24704,0.20981,0.87751,0.95051,0.87356,0.95454,0.90202,0.30737,0.31072,0.88657,8.97412e-05,8.97412e-05,8.97412e-05
73,1808.1,0.2512,0.22576,0.88243,0.8902,0.92736,0.95622,0.9003,0.30828,0.30173,0.88708,7.08784e-05,7.08784e-05,7.08784e-05
74,1832.35,0.24401,0.20761,0.87817,0.95198,0.88268,0.95419,0.9044,0.30592,0.29709,0.88276,5.20156e-05,5.20156e-05,5.20156e-05
75,1857.15,0.24208,0.21436,0.88033,0.95547,0.88219,0.95344,0.90426,0.30046,0.29963,0.88126,3.31528e-05,3.31528e-05,3.31528e-05
